dataset,k_true,Silhouette,CH Index,Davies-Bouldin,Gap Statistic,Dunn Index,Hartigan,KL Index,Jump Statistic,McClain-Rao,CBV
blobs_k3_d2_std0.3,3,1,1,1,1,1,0,1,1,0,1
blobs_k3_d2_std0.5,3,1,1,1,1,1,0,1,1,0,1
blobs_k3_d2_std1.0,3,1,1,1,1,1,0,1,1,0,1
blobs_k5_d2_std0.5,5,1,1,0,1,0,0,1,1,0,0
blobs_k5_d2_std1.0,5,0,1,0,1,0,0,0,0,0,0
blobs_k8_d2_std0.5,8,0,0,0,0,0,0,0,0,0,0
blobs_k3_d2_std1.5,3,1,1,1,1,1,0,1,1,0,1
blobs_k3_d2_std2.0,3,1,1,1,1,0,0,1,1,0,1
blobs_k3_d2_std2.5,3,1,1,1,1,0,0,0,1,0,1
blobs_k5_d2_std1.5,5,0,0,0,0,0,0,0,0,0,0
blobs_k5_d2_std2.0,5,0,0,0,0,0,0,0,0,0,0
classif_k2_info2_noise2,2,1,1,0,1,1,0,0,0,0,1
classif_k2_info2_noise5,2,1,1,0,1,1,0,0,0,0,1
classif_k2_info2_noise10,2,1,1,0,1,0,0,0,0,0,1
classif_k3_info3_noise3,3,0,0,0,0,0,0,0,0,0,0
classif_k3_info3_noise8,3,0,0,0,0,0,0,0,0,0,0
moons_noise0.05,2,0,0,0,0,0,0,0,0,0,1
moons_noise0.1,2,0,0,0,0,0,0,0,0,0,1
circles_factor0.3_noise0.05,2,0,0,0,1,0,0,0,0,0,1
circles_factor0.3_noise0.1,2,0,0,0,1,0,0,0,0,0,1
circles_factor0.5_noise0.05,2,0,0,0,1,0,0,0,0,0,0
circles_factor0.5_noise0.1,2,0,0,0,1,0,0,0,0,0,1
blobs_k3_d5_std1.0,3,1,1,1,1,0,0,1,1,1,1
blobs_k3_d30_std1.0,3,1,1,1,1,1,1,1,1,1,1
blobs_k3_d50_std1.0,3,1,1,1,1,1,1,1,0,1,1
aniso_k3_d2_stretch3.0,3,0,1,0,1,0,0,1,1,0,1
aniso_k3_d2_stretch5.0,3,0,0,0,0,0,0,1,0,0,1
aniso_k5_d2_stretch3.0,5,0,0,0,1,0,0,1,0,0,0
imbal_k3_d2_ratio3.0,3,1,1,1,1,1,0,1,1,0,1
imbal_k3_d2_ratio5.0,3,1,1,1,1,1,0,1,1,0,1
imbal_k5_d2_ratio3.0,5,0,1,0,1,0,0,0,1,0,0
varied_k3_d2_stds0.5_1.5_3.0,3,1,1,1,1,0,0,1,1,0,1
varied_k4_d2_stds0.5_1.0_2.0_3.0,4,1,1,1,1,1,0,1,1,0,0
varied_k5_d2_stds0.3_0.7_1.5_2.5_4.0,5,0,0,0,0,0,0,0,0,0,0
blobs_k10_d2_std0.5,10,0,0,0,0,0,0,0,0,1,0
blobs_k12_d2_std0.5,12,0,0,0,0,0,0,0,0,0,0
blobs_k15_d2_std0.5,15,0,0,0,0,0,0,0,0,0,0
classif_k3_info2_noise98,3,0,0,0,0,0,0,0,0,0,0
classif_k3_info5_noise95,3,0,0,0,0,0,0,0,0,0,0
classif_k5_info5_noise195,5,0,0,0,0,0,0,0,0,0,0
moons_noise0.15,2,1,0,0,0,0,0,0,0,0,1
circles_factor0.5_noise0.15,2,0,0,0,1,0,0,0,0,0,1
smalln_k3_n50,3,1,1,1,1,1,0,1,1,0,1
smalln_k3_n100,3,1,1,1,1,1,0,1,1,0,1
wine,3,0,0,0,0,0,0,0,0,0,0
iris,3,0,1,0,0,0,0,0,0,0,0
"digits_[0, 1]",2,0,1,0,0,0,0,0,0,0,1
"digits_[0, 1, 2]",3,0,0,0,0,0,0,0,0,0,0
"digits_[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",10,0,0,0,1,0,0,0,1,1,0
breast_cancer,2,1,0,1,0,0,0,0,0,0,1
seeds,3,0,1,0,1,0,0,1,0,0,0
glass,6,0,0,0,0,0,0,0,0,0,0
yeast,10,0,0,0,0,0,0,0,1,1,0
ecoli,8,0,0,0,1,0,0,0,0,0,0
segmentation,7,0,0,0,0,0,0,0,0,1,0
olivetti_faces,40,0,0,0,0,0,0,0,0,0,0
parkinsons,2,1,0,1,0,1,0,0,0,0,1
ionosphere,2,0,1,0,0,1,0,0,0,0,1
