n_corr_dims,corr_strength,n_features,k_true,CBV_k,CBV_correct,CBV_mae,CH_k,CH_correct,CH_mae,Silhouette_k,Silhouette_correct,Silhouette_mae,Davies-Bouldin_k,Davies-Bouldin_correct,Davies-Bouldin_mae,Hartigan_k,Hartigan_correct,Hartigan_mae
0,0.0,2,3,3,1,0,3,1,0,3,1,0,3,1,0,10,0,7
0,0.5,2,3,3,1,0,3,1,0,3,1,0,3,1,0,10,0,7
0,0.9,2,3,3,1,0,3,1,0,3,1,0,3,1,0,10,0,7
4,0.0,6,3,2,0,1,2,0,1,2,0,1,9,0,6,10,0,7
4,0.5,6,3,2,0,1,3,1,0,2,0,1,2,0,1,10,0,7
4,0.9,6,3,2,0,1,3,1,0,3,1,0,3,1,0,10,0,7
10,0.0,12,3,2,0,1,2,0,1,2,0,1,10,0,7,6,0,3
10,0.5,12,3,2,0,1,2,0,1,2,0,1,2,0,1,6,0,3
10,0.9,12,3,2,0,1,3,1,0,3,1,0,3,1,0,10,0,7
20,0.0,22,3,2,0,1,2,0,1,2,0,1,9,0,6,4,0,1
20,0.5,22,3,2,0,1,2,0,1,2,0,1,2,0,1,3,1,0
20,0.9,22,3,3,1,0,3,1,0,3,1,0,3,1,0,10,0,7
