dataset,k_true,Silhouette_k,Silhouette_correct,CH Index_k,CH Index_correct,Davies-Bouldin_k,Davies-Bouldin_correct,Gap Statistic_k,Gap Statistic_correct,Dunn Index_k,Dunn Index_correct,DUD Index_k,DUD Index_correct,CBV_k,CBV_correct
blobs_k3_d2_std0.3,3,3,1,3,1,3,1,3,1,3,1,10,0,4,0
blobs_k3_d2_std0.5,3,3,1,3,1,3,1,3,1,3,1,10,0,4,0
blobs_k3_d2_std1.0,3,3,1,3,1,3,1,3,1,3,1,10,0,3,1
blobs_k5_d2_std0.5,5,5,1,5,1,4,0,5,1,2,0,10,0,4,0
blobs_k5_d2_std1.0,5,4,0,5,1,4,0,5,1,2,0,10,0,3,0
blobs_k8_d2_std0.5,8,6,0,7,0,5,0,7,0,5,0,10,0,3,0
blobs_k3_d2_std1.5,3,3,1,3,1,3,1,3,1,3,1,10,0,3,1
blobs_k3_d2_std2.0,3,3,1,3,1,3,1,3,1,2,0,10,0,3,1
blobs_k3_d2_std2.5,3,3,1,3,1,3,1,3,1,2,0,10,0,3,1
blobs_k5_d2_std1.5,5,3,0,4,0,4,0,4,0,2,0,10,0,3,0
blobs_k5_d2_std2.0,5,3,0,4,0,3,0,3,0,2,0,10,0,3,0
classif_k2_info2_noise2,2,2,1,2,1,10,0,2,1,9,0,10,0,2,1
classif_k2_info2_noise5,2,2,1,2,1,10,0,2,1,2,1,10,0,2,1
classif_k2_info2_noise10,2,2,1,2,1,10,0,2,1,9,0,10,0,2,1
classif_k3_info3_noise3,3,5,0,2,0,8,0,5,0,5,0,10,0,2,0
classif_k3_info3_noise8,3,2,0,2,0,10,0,2,0,8,0,10,0,2,0
moons_noise0.05,2,8,0,10,0,10,0,4,0,6,0,10,0,3,0
moons_noise0.1,2,8,0,10,0,10,0,4,0,10,0,10,0,3,0
circles_factor0.3_noise0.05,2,6,0,10,0,10,0,2,1,6,0,10,0,3,0
circles_factor0.3_noise0.1,2,10,0,10,0,10,0,2,1,6,0,10,0,3,0
circles_factor0.5_noise0.05,2,10,0,5,0,10,0,3,0,9,0,10,0,3,0
circles_factor0.5_noise0.1,2,3,0,10,0,10,0,3,0,7,0,10,0,3,0
blobs_k3_d5_std1.0,3,3,1,3,1,3,1,3,1,2,0,10,0,3,1
blobs_k3_d30_std1.0,3,3,1,3,1,3,1,3,1,3,1,10,0,3,1
blobs_k3_d50_std1.0,3,3,1,3,1,3,1,3,1,3,1,10,0,3,1
wine,3,2,0,10,0,7,0,2,0,6,0,10,0,2,0
iris,3,2,0,3,1,2,0,6,0,4,0,10,0,3,1
"digits_[0, 1]",2,4,0,2,1,4,0,10,0,4,0,10,0,2,1
"digits_[0, 1, 2]",3,6,0,2,0,4,0,10,0,4,0,10,0,2,0
breast_cancer,2,2,1,9,0,2,1,5,0,2,1,10,0,2,1
seeds,3,2,0,3,1,2,0,3,1,10,0,10,0,3,1
